ASTM G173-03 Reference Spectra Derived from SMARTS v. 2.9.2
Wvlgth nm,Etr W*m-2*nm-1,Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1
306.5,5.7500E-01,2.1108E-02,1.1568E-02
307.0,6.0500E-01,2.7849E-02,1.5246E-02
307.5,6.3100E-01,3.5635E-02,1.9468E-02
308.0,6.4500E-01,3.7837E-02,2.0753E-02
308.5,6.4050E-01,4.1430E-02,2.2750E-02
309.0,5.8000E-01,4.0534E-02,2.2298E-02
309.5,5.0000E-01,4.3306E-02,2.3672E-02
310.0,5.3300E-01,5.0939E-02,2.7826E-02
310.5,6.5200E-01,6.5540E-02,3.5879E-02
311.0,7.6200E-01,8.2922E-02,4.5392E-02
311.5,7.4400E-01,8.4080E-02,4.6156E-02
312.0,7.0615E-01,9.3376E-02,5.0898E-02
312.5,6.7600E-01,9.8984E-02,5.3766E-02
313.0,6.9400E-01,1.0733E-01,5.8323E-02
313.5,7.2400E-01,1.0757E-01,5.8999E-02
314.0,7.1700E-01,1.1969E-01,6.5266E-02
314.5,6.7600E-01,1.3060E-01,7.0476E-02
315.0,6.8450E-01,1.3625E-01,7.3686E-02
315.5,6.3200E-01,1.1838E-01,6.4833E-02
316.0,5.8700E-01,1.2348E-01,6.7088E-02
316.5,6.4900E-01,1.5036E-01,8.1118E-02
317.0,7.3900E-01,1.7158E-01,9.3020E-02
317.5,8.0189E-01,1.8245E-01,9.9712E-02
318.0,7.2361E-01,1.7594E-01,9.5815E-02
318.5,6.8000E-01,1.8591E-01,1.0005E-01
319.0,7.0580E-01,2.0470E-01,1.0971E-01
319.5,7.3318E-01,1.9589E-01,1.0693E-01
320.0,7.7500E-01,2.0527E-01,1.1277E-01
320.5,8.2600E-01,2.4525E-01,1.3305E-01
321.0,7.6546E-01,2.5024E-01,1.3414E-01
321.5,7.1900E-01,2.3843E-01,1.2817E-01
322.0,7.3513E-01,2.2203E-01,1.2200E-01
322.5,7.1152E-01,2.1709E-01,1.1970E-01
323.0,6.4900E-01,2.1226E-01,1.1623E-01
323.5,6.8138E-01,2.4861E-01,1.3393E-01
324.0,7.4050E-01,2.7537E-01,1.4852E-01
324.5,7.8800E-01,2.8321E-01,1.5467E-01
325.0,8.2918E-01,2.7894E-01,1.5504E-01
325.5,9.1377E-01,3.2436E-01,1.7936E-01
326.0,9.9835E-01,3.8120E-01,2.0868E-01
326.5,1.0166E+00,4.0722E-01,2.2162E-01
327.0,1.0047E+00,3.9806E-01,2.1834E-01
327.5,9.8679E-01,3.8465E-01,2.1285E-01
328.0,9.5681E-01,3.5116E-01,1.9773E-01
328.5,9.3400E-01,3.7164E-01,2.0675E-01
329.0,1.0046E+00,4.2235E-01,2.3297E-01
329.5,1.0958E+00,4.6878E-01,2.5864E-01
330.0,1.1098E+00,4.7139E-01,2.6192E-01
330.5,1.0429E+00,4.2800E-01,2.4103E-01
331.0,9.9100E-01,4.0262E-01,2.2835E-01
331.5,9.9396E-01,4.1806E-01,2.3635E-01
332.0,9.9277E-01,4.3623E-01,2.4508E-01
332.5,9.8003E-01,4.3919E-01,2.4655E-01
333.0,9.6394E-01,4.2944E-01,2.4263E-01
333.5,9.3700E-01,4.0724E-01,2.3265E-01
334.0,9.5557E-01,4.1497E-01,2.3823E-01
334.5,9.8862E-01,4.4509E-01,2.5434E-01
335.0,1.0097E+00,4.6388E-01,2.6477E-01
335.5,9.7453E-01,4.5313E-01,2.5894E-01
336.0,8.8979E-01,4.1519E-01,2.3813E-01
336.5,8.2900E-01,3.8214E-01,2.2099E-01
337.0,8.1800E-01,3.7380E-01,2.1767E-01
337.5,8.7732E-01,4.0051E-01,2.3434E-01
338.0,9.2529E-01,4.3411E-01,2.5321E-01
338.5,9.5783E-01,4.5527E-01,2.6549E-01
339.0,9.6863E-01,4.6355E-01,2.7096E-01
339.5,9.8900E-01,4.7446E-01,2.7847E-01
340.0,1.0544E+00,5.0180E-01,2.9659E-01
340.5,1.0463E+00,5.0071E-01,2.9674E-01
341.0,9.7100E-01,4.7139E-01,2.7932E-01
341.5,9.5900E-01,4.6935E-01,2.7853E-01
342.0,9.9570E-01,4.8934E-01,2.9121E-01
342.5,1.0277E+00,5.0767E-01,3.0296E-01
343.0,1.0417E+00,5.1489E-01,3.0857E-01
343.5,9.8301E-01,4.8609E-01,2.9246E-01
344.0,8.5416E-01,4.1843E-01,2.5352E-01
344.5,8.1300E-01,4.0307E-01,2.4439E-01
345.0,9.1583E-01,4.5898E-01,2.7854E-01
345.5,9.7021E-01,4.8932E-01,2.9761E-01
346.0,9.4269E-01,4.7778E-01,2.9132E-01
346.5,9.5594E-01,4.8657E-01,2.9747E-01
347.0,9.6954E-01,4.9404E-01,3.0318E-01
347.5,9.3318E-01,4.7674E-01,2.9351E-01
348.0,9.2472E-01,4.7511E-01,2.9306E-01
348.5,9.3721E-01,4.8336E-01,2.9884E-01
349.0,8.9900E-01,4.6564E-01,2.8864E-01
349.5,9.1969E-01,4.7805E-01,2.9720E-01
350.0,1.0122E+00,5.2798E-01,3.2913E-01
350.5,1.0849E+00,5.6741E-01,3.5471E-01
351.0,1.0534E+00,5.5172E-01,3.4603E-01
351.5,1.0129E+00,5.3022E-01,3.3388E-01
352.0,9.8383E-01,5.1791E-01,3.2674E-01
352.5,9.2600E-01,4.8962E-01,3.0954E-01
353.0,9.8012E-01,5.2040E-01,3.2975E-01
353.5,1.0752E+00,5.7228E-01,3.6351E-01
354.0,1.1346E+00,6.0498E-01,3.8523E-01
354.5,1.1440E+00,6.1156E-01,3.9043E-01
355.0,1.1406E+00,6.1140E-01,3.9140E-01
355.5,1.0964E+00,5.9028E-01,3.7878E-01
356.0,1.0250E+00,5.5387E-01,3.5627E-01
356.5,9.5914E-01,5.1942E-01,3.3495E-01
357.0,8.4200E-01,4.5673E-01,2.9527E-01
357.5,8.5015E-01,4.6215E-01,2.9950E-01
358.0,7.8916E-01,4.3006E-01,2.7936E-01
358.5,7.3100E-01,3.9926E-01,2.5998E-01
359.0,8.5805E-01,4.6953E-01,3.0650E-01
359.5,1.0321E+00,5.6549E-01,3.7013E-01
360.0,1.0890E+00,5.9817E-01,3.9240E-01
360.5,1.0265E+00,5.6531E-01,3.7167E-01
361.0,9.4150E-01,5.2024E-01,3.4278E-01
361.5,9.1800E-01,5.0956E-01,3.3647E-01
362.0,9.5800E-01,5.3420E-01,3.5350E-01
362.5,1.0450E+00,5.8510E-01,3.8804E-01
363.0,1.0710E+00,6.0191E-01,4.0005E-01
363.5,1.0380E+00,5.8541E-01,3.8994E-01
364.0,1.0716E+00,6.0628E-01,4.0472E-01
364.5,1.0590E+00,6.0058E-01,4.0179E-01
365.0,1.0970E+00,6.2359E-01,4.1810E-01
365.5,1.2041E+00,6.8628E-01,4.6110E-01
366.0,1.2860E+00,7.3532E-01,4.9508E-01
366.5,1.2843E+00,7.3658E-01,4.9694E-01
367.0,1.2577E+00,7.2285E-01,4.8869E-01
367.5,1.2317E+00,7.0914E-01,4.8041E-01
368.0,1.1570E+00,6.6759E-01,4.5319E-01
368.5,1.1459E+00,6.6310E-01,4.5106E-01
369.0,1.1944E+00,6.9315E-01,4.7244E-01
369.5,1.2795E+00,7.4469E-01,5.0856E-01
370.0,1.2934E+00,7.5507E-01,5.1666E-01
370.5,1.1660E+00,6.8261E-01,4.6798E-01
371.0,1.1811E+00,6.9338E-01,4.7628E-01
371.5,1.2249E+00,7.2051E-01,4.9587E-01
372.0,1.1444E+00,6.7444E-01,4.6506E-01
372.5,1.0876E+00,6.4253E-01,4.4389E-01
373.0,1.0445E+00,6.1886E-01,4.2833E-01
373.5,9.3900E-01,5.5786E-01,3.8682E-01
374.0,9.3442E-01,5.5640E-01,3.8651E-01
374.5,9.2500E-01,5.5227E-01,3.8435E-01
375.0,9.8500E-01,5.8930E-01,4.1087E-01
375.5,1.0874E+00,6.5162E-01,4.5514E-01
376.0,1.1240E+00,6.7480E-01,4.7218E-01
376.5,1.1040E+00,6.6390E-01,4.6538E-01
377.0,1.1813E+00,7.1225E-01,5.0014E-01
377.5,1.3149E+00,7.9455E-01,5.5890E-01
378.0,1.4144E+00,8.5595E-01,6.0314E-01
378.5,1.3765E+00,8.3418E-01,5.8892E-01
379.0,1.2260E+00,7.4389E-01,5.2616E-01
379.5,1.0980E+00,6.6683E-01,4.7255E-01
380.0,1.1520E+00,7.0077E-01,4.9751E-01
380.5,1.2310E+00,7.5075E-01,5.3396E-01
381.0,1.2490E+00,7.6383E-01,5.4424E-01
381.5,1.1224E+00,6.8837E-01,4.9135E-01
382.0,9.5426E-01,5.8678E-01,4.1958E-01
382.5,8.2313E-01,5.0762E-01,3.6361E-01
383.0,7.3603E-01,4.5499E-01,3.2648E-01
383.5,7.1095E-01,4.4049E-01,3.1658E-01
384.0,8.2100E-01,5.0968E-01,3.6689E-01
384.5,9.8620E-01,6.1359E-01,4.4239E-01
385.0,1.0802E+00,6.7355E-01,4.8638E-01
385.5,1.0296E+00,6.4363E-01,4.6549E-01
386.0,9.9113E-01,6.2100E-01,4.4984E-01
386.5,1.0279E+00,6.4570E-01,4.6848E-01
387.0,1.0354E+00,6.5147E-01,4.7343E-01
387.5,1.0186E+00,6.4204E-01,4.6731E-01
388.0,1.0067E+00,6.3582E-01,4.6350E-01
388.5,9.9743E-01,6.3136E-01,4.6096E-01
389.0,1.0810E+00,6.8543E-01,5.0121E-01
389.5,1.1958E+00,7.5970E-01,5.5637E-01
390.0,1.2519E+00,7.9699E-01,5.8457E-01
390.5,1.2601E+00,8.0371E-01,5.9038E-01
391.0,1.3322E+00,8.5138E-01,6.2634E-01
391.5,1.3490E+00,8.6344E-01,6.3617E-01
392.0,1.2400E+00,7.9493E-01,5.8656E-01
392.5,1.0312E+00,6.6257E-01,4.8961E-01
393.0,7.4500E-01,4.7975E-01,3.5502E-01
393.5,5.9120E-01,3.8152E-01,2.8272E-01
394.0,7.6675E-01,4.9567E-01,3.6780E-01
394.5,1.0557E+00,6.8385E-01,5.0811E-01
395.0,1.2450E+00,8.0772E-01,6.0096E-01
395.5,1.3245E+00,8.6038E-01,6.4101E-01
396.0,1.1626E+00,7.5655E-01,5.6443E-01
396.5,8.4330E-01,5.5017E-01,4.1101E-01
397.0,6.5200E-01,4.2619E-01,3.1882E-01
397.5,9.6142E-01,6.2945E-01,4.7151E-01
398.0,1.3010E+00,8.5249E-01,6.3944E-01
398.5,1.5342E+00,1.0069E+00,7.5622E-01
399.0,1.6245E+00,1.0693E+00,8.0408E-01
399.5,1.6717E+00,1.1021E+00,8.2980E-01
400.0,1.6885E+00,1.1141E+00,8.3989E-01
401.0,1.7520E+00,1.1603E+00,8.7691E-01
402.0,1.8140E+00,1.2061E+00,9.1387E-01
403.0,1.7400E+00,1.1613E+00,8.8211E-01
404.0,1.7630E+00,1.1801E+00,8.9849E-01
405.0,1.7150E+00,1.1511E+00,8.7849E-01
406.0,1.6660E+00,1.1227E+00,8.5878E-01
407.0,1.6300E+00,1.1026E+00,8.4545E-01
408.0,1.6990E+00,1.1514E+00,8.8488E-01
409.0,1.8090E+00,1.2299E+00,9.4717E-01
410.0,1.5370E+00,1.0485E+00,8.0910E-01
411.0,1.7150E+00,1.1738E+00,9.0770E-01
412.0,1.8160E+00,1.2478E+00,9.6686E-01
413.0,1.7392E+00,1.1971E+00,9.2951E-01
414.0,1.7144E+00,1.1842E+00,9.2134E-01
415.0,1.7688E+00,1.2258E+00,9.5569E-01
416.0,1.8150E+00,1.2624E+00,9.8628E-01
417.0,1.7660E+00,1.2312E+00,9.6392E-01
418.0,1.6850E+00,1.1777E+00,9.2392E-01
419.0,1.7490E+00,1.2258E+00,9.6354E-01
420.0,1.5990E+00,1.1232E+00,8.8467E-01
421.0,1.8110E+00,1.2757E+00,1.0067E+00
422.0,1.7820E+00,1.2583E+00,9.9499E-01
423.0,1.7210E+00,1.2184E+00,9.6531E-01
424.0,1.7080E+00,1.2117E+00,9.6182E-01
425.0,1.7550E+00,1.2488E+00,9.9312E-01
426.0,1.6990E+00,1.2135E+00,9.6667E-01
427.0,1.6380E+00,1.1724E+00,9.3550E-01
428.0,1.6510E+00,1.1839E+00,9.4625E-01
429.0,1.5230E+00,1.0963E+00,8.7766E-01
430.0,1.2120E+00,8.7462E-01,7.0134E-01
431.0,1.0990E+00,7.9394E-01,6.3779E-01
432.0,1.8220E+00,1.3207E+00,1.0628E+00
433.0,1.6913E+00,1.2288E+00,9.9050E-01
434.0,1.5600E+00,1.1352E+00,9.1653E-01
435.0,1.7090E+00,1.2452E+00,1.0070E+00
436.0,1.8680E+00,1.3659E+00,1.1061E+00
437.0,1.9000E+00,1.3943E+00,1.1306E+00
438.0,1.6630E+00,1.2238E+00,9.9368E-01
439.0,1.6010E+00,1.1775E+00,9.5753E-01
440.0,1.8300E+00,1.3499E+00,1.0993E+00
441.0,1.7990E+00,1.3313E+00,1.0859E+00
442.0,1.9220E+00,1.4250E+00,1.1640E+00
443.0,1.9490E+00,1.4453E+00,1.1823E+00
444.0,1.8941E+00,1.4084E+00,1.1537E+00
445.0,1.9650E+00,1.4619E+00,1.1992E+00
446.0,1.7557E+00,1.3108E+00,1.0766E+00
447.0,1.9900E+00,1.4903E+00,1.2257E+00
448.0,2.0140E+00,1.5081E+00,1.2422E+00
449.0,2.0010E+00,1.5045E+00,1.2409E+00
450.0,2.0690E+00,1.5595E+00,1.2881E+00
451.0,2.1420E+00,1.6173E+00,1.3376E+00
452.0,2.0470E+00,1.5482E+00,1.2822E+00
453.0,1.8864E+00,1.4297E+00,1.1854E+00
454.0,2.0180E+00,1.5335E+00,1.2730E+00
455.0,2.0010E+00,1.5224E+00,1.2655E+00
456.0,2.0630E+00,1.5724E+00,1.3088E+00
457.0,2.0770E+00,1.5854E+00,1.3213E+00
458.0,2.0320E+00,1.5514E+00,1.2946E+00
459.0,2.0120E+00,1.5391E+00,1.2859E+00
460.0,1.9973E+00,1.5291E+00,1.2791E+00
461.0,2.0639E+00,1.5827E+00,1.3255E+00
462.0,2.0780E+00,1.5975E+00,1.3392E+00
463.0,2.0840E+00,1.6031E+00,1.3452E+00
464.0,2.0150E+00,1.5544E+00,1.3055E+00
465.0,1.9840E+00,1.5350E+00,1.2905E+00
466.0,2.0210E+00,1.5673E+00,1.3190E+00
467.0,1.9310E+00,1.4973E+00,1.2616E+00
468.0,2.0120E+00,1.5619E+00,1.3178E+00
469.0,2.0180E+00,1.5682E+00,1.3247E+00
470.0,1.9390E+00,1.5077E+00,1.2749E+00
471.0,1.9690E+00,1.5331E+00,1.2975E+00
472.0,2.0700E+00,1.6126E+00,1.3661E+00
473.0,1.9882E+00,1.5499E+00,1.3144E+00
474.0,2.0120E+00,1.5671E+00,1.3304E+00
475.0,2.0800E+00,1.6185E+00,1.3755E+00
476.0,2.0120E+00,1.5631E+00,1.3299E+00
477.0,2.0250E+00,1.5724E+00,1.3392E+00
478.0,2.0860E+00,1.6230E+00,1.3839E+00
479.0,2.0400E+00,1.5916E+00,1.3586E+00
480.0,2.0680E+00,1.6181E+00,1.3825E+00
481.0,2.0610E+00,1.6177E+00,1.3836E+00
482.0,2.0623E+00,1.6236E+00,1.3899E+00
483.0,2.0310E+00,1.6038E+00,1.3742E+00
484.0,1.9890E+00,1.5734E+00,1.3492E+00
485.0,1.9790E+00,1.5683E+00,1.3457E+00
486.0,1.6010E+00,1.2716E+00,1.0918E+00
487.0,1.7890E+00,1.4241E+00,1.2235E+00
488.0,1.9350E+00,1.5413E+00,1.3252E+00
489.0,1.8224E+00,1.4519E+00,1.2492E+00
490.0,2.0320E+00,1.6224E+00,1.3968E+00
491.0,1.9490E+00,1.5595E+00,1.3435E+00
492.0,1.8560E+00,1.4869E+00,1.2818E+00
493.0,1.9830E+00,1.5903E+00,1.3719E+00
494.0,1.9339E+00,1.5525E+00,1.3402E+00
495.0,2.0510E+00,1.6485E+00,1.4238E+00
496.0,1.9490E+00,1.5676E+00,1.3548E+00
497.0,1.9800E+00,1.5944E+00,1.3788E+00
498.0,1.9240E+00,1.5509E+00,1.3421E+00
499.0,1.9230E+00,1.5507E+00,1.3429E+00
500.0,1.9160E+00,1.5451E+00,1.3391E+00
501.0,1.8580E+00,1.4978E+00,1.2990E+00
502.0,1.8600E+00,1.4966E+00,1.2991E+00
503.0,1.9490E+00,1.5653E+00,1.3597E+00
504.0,1.8330E+00,1.4587E+00,1.2682E+00
505.0,1.9472E+00,1.5635E+00,1.3598E+00
506.0,2.0250E+00,1.6264E+00,1.4153E+00
507.0,1.9354E+00,1.5560E+00,1.3548E+00
508.0,1.8800E+00,1.5165E+00,1.3210E+00
509.0,1.9650E+00,1.5893E+00,1.3850E+00
510.0,1.9100E+00,1.5481E+00,1.3497E+00
511.0,1.9410E+00,1.5769E+00,1.3753E+00
512.0,1.9890E+00,1.6186E+00,1.4125E+00
513.0,1.8660E+00,1.5206E+00,1.3277E+00
514.0,1.8240E+00,1.4885E+00,1.3003E+00
515.0,1.8750E+00,1.5314E+00,1.3385E+00
516.0,1.8910E+00,1.5455E+00,1.3514E+00
517.0,1.5390E+00,1.2594E+00,1.1017E+00
518.0,1.7590E+00,1.4403E+00,1.2605E+00
519.0,1.7040E+00,1.3957E+00,1.2222E+00
520.0,1.8600E+00,1.5236E+00,1.3349E+00
521.0,1.8730E+00,1.5346E+00,1.3452E+00
522.0,1.9150E+00,1.5690E+00,1.3760E+00
523.0,1.8040E+00,1.4789E+00,1.2976E+00
524.0,1.9410E+00,1.5905E+00,1.3962E+00
525.0,1.9280E+00,1.5781E+00,1.3859E+00
526.0,1.8740E+00,1.5341E+00,1.3479E+00
527.0,1.6410E+00,1.3417E+00,1.1795E+00
528.0,1.8800E+00,1.5357E+00,1.3508E+00
529.0,1.9690E+00,1.6071E+00,1.4142E+00
530.0,1.8920E+00,1.5446E+00,1.3598E+00
531.0,1.9950E+00,1.6292E+00,1.4348E+00
532.0,1.9580E+00,1.5998E+00,1.4094E+00
533.0,1.7470E+00,1.4286E+00,1.2590E+00
534.0,1.8690E+00,1.5302E+00,1.3491E+00
535.0,1.8950E+00,1.5535E+00,1.3701E+00
536.0,1.9740E+00,1.6199E+00,1.4292E+00
537.0,1.8240E+00,1.4989E+00,1.3229E+00
538.0,1.9130E+00,1.5738E+00,1.3896E+00
539.0,1.8640E+00,1.5352E+00,1.3558E+00
540.0,1.8000E+00,1.4825E+00,1.3096E+00
541.0,1.7340E+00,1.4251E+00,1.2595E+00
542.0,1.8880E+00,1.5511E+00,1.3714E+00
543.0,1.8510E+00,1.5256E+00,1.3493E+00
544.0,1.9190E+00,1.5792E+00,1.3971E+00
545.0,1.8740E+00,1.5435E+00,1.3657E+00
546.0,1.8609E+00,1.5291E+00,1.3536E+00
547.0,1.8820E+00,1.5490E+00,1.3717E+00
548.0,1.8260E+00,1.5049E+00,1.3331E+00
549.0,1.8800E+00,1.5520E+00,1.3752E+00
550.0,1.8630E+00,1.5399E+00,1.3648E+00
551.0,1.8590E+00,1.5382E+00,1.3639E+00
552.0,1.8960E+00,1.5697E+00,1.3923E+00
553.0,1.8420E+00,1.5250E+00,1.3533E+00
554.0,1.8780E+00,1.5549E+00,1.3802E+00
555.0,1.8890E+00,1.5634E+00,1.3883E+00
556.0,1.8570E+00,1.5366E+00,1.3651E+00
557.0,1.8120E+00,1.4988E+00,1.3321E+00
558.0,1.8530E+00,1.5310E+00,1.3613E+00
559.0,1.7550E+00,1.4483E+00,1.2885E+00
560.0,1.7860E+00,1.4740E+00,1.3118E+00
561.0,1.8900E+00,1.5595E+00,1.3885E+00
562.0,1.8010E+00,1.4847E+00,1.3225E+00
563.0,1.8710E+00,1.5408E+00,1.3731E+00
564.0,1.8360E+00,1.5106E+00,1.3466E+00
565.0,1.8490E+00,1.5201E+00,1.3555E+00
566.0,1.7500E+00,1.4374E+00,1.2823E+00
567.0,1.8680E+00,1.5320E+00,1.3673E+00
568.0,1.8590E+00,1.5180E+00,1.3554E+00
569.0,1.8310E+00,1.4807E+00,1.3228E+00
570.0,1.8280E+00,1.4816E+00,1.3240E+00
571.0,1.7620E+00,1.4331E+00,1.2810E+00
572.0,1.8720E+00,1.5134E+00,1.3534E+00
573.0,1.8810E+00,1.5198E+00,1.3595E+00
574.0,1.8730E+00,1.5119E+00,1.3527E+00
575.0,1.8340E+00,1.4777E+00,1.3225E+00
576.0,1.8180E+00,1.4654E+00,1.3118E+00
577.0,1.8620E+00,1.5023E+00,1.3452E+00
578.0,1.7990E+00,1.4560E+00,1.3040E+00
579.0,1.8160E+00,1.4770E+00,1.3230E+00
580.0,1.8340E+00,1.5020E+00,1.3455E+00
581.0,1.8330E+00,1.5089E+00,1.3518E+00
582.0,1.8520E+00,1.5320E+00,1.3729E+00
583.0,1.8630E+00,1.5479E+00,1.3872E+00
584.0,1.8540E+00,1.5448E+00,1.3845E+00
585.0,1.8360E+00,1.5324E+00,1.3737E+00
586.0,1.7920E+00,1.4953E+00,1.3409E+00
587.0,1.8380E+00,1.5281E+00,1.3708E+00
588.0,1.8210E+00,1.4934E+00,1.3403E+00
589.0,1.6240E+00,1.2894E+00,1.1582E+00
590.0,1.7218E+00,1.3709E+00,1.2316E+00
591.0,1.8090E+00,1.4662E+00,1.3171E+00
592.0,1.7880E+00,1.4354E+00,1.2900E+00
593.0,1.7920E+00,1.4561E+00,1.3086E+00
594.0,1.7890E+00,1.4491E+00,1.3029E+00
595.0,1.7780E+00,1.4308E+00,1.2870E+00
596.0,1.7960E+00,1.4745E+00,1.3260E+00
597.0,1.8060E+00,1.4788E+00,1.3303E+00
598.0,1.7720E+00,1.4607E+00,1.3142E+00
599.0,1.7640E+00,1.4606E+00,1.3145E+00
600.0,1.7700E+00,1.4753E+00,1.3278E+00
601.0,1.7420E+00,1.4579E+00,1.3123E+00
602.0,1.7150E+00,1.4360E+00,1.2928E+00
603.0,1.7490E+00,1.4664E+00,1.3205E+00
604.0,1.7790E+00,1.4921E+00,1.3439E+00
605.0,1.7730E+00,1.4895E+00,1.3418E+00
606.0,1.7580E+00,1.4822E+00,1.3353E+00
607.0,1.7620E+00,1.4911E+00,1.3434E+00
608.0,1.7510E+00,1.4862E+00,1.3392E+00
609.0,1.7340E+00,1.4749E+00,1.3292E+00
610.0,1.7240E+00,1.4686E+00,1.3237E+00
611.0,1.7120E+00,1.4611E+00,1.3170E+00
612.0,1.7360E+00,1.4831E+00,1.3370E+00
613.0,1.7100E+00,1.4621E+00,1.3182E+00
614.0,1.6550E+00,1.4176E+00,1.2783E+00
615.0,1.7120E+00,1.4697E+00,1.3254E+00
616.0,1.6640E+00,1.4310E+00,1.2906E+00
617.0,1.6410E+00,1.4128E+00,1.2744E+00
618.0,1.7020E+00,1.4664E+00,1.3228E+00
619.0,1.7090E+00,1.4733E+00,1.3292E+00
620.0,1.7110E+00,1.4739E+00,1.3299E+00
621.0,1.7240E+00,1.4802E+00,1.3359E+00
622.0,1.6784E+00,1.4269E+00,1.2882E+00
623.0,1.6820E+00,1.4165E+00,1.2793E+00
624.0,1.6670E+00,1.4118E+00,1.2751E+00
625.0,1.6440E+00,1.4026E+00,1.2667E+00
626.0,1.6400E+00,1.4012E+00,1.2655E+00
627.0,1.6930E+00,1.4417E+00,1.3022E+00
628.0,1.6930E+00,1.3631E+00,1.2328E+00
629.0,1.6870E+00,1.4114E+00,1.2758E+00
630.0,1.6650E+00,1.3924E+00,1.2589E+00
631.0,1.6590E+00,1.4161E+00,1.2799E+00
632.0,1.5901E+00,1.3638E+00,1.2327E+00
633.0,1.6740E+00,1.4508E+00,1.3110E+00
634.0,1.6370E+00,1.4284E+00,1.2907E+00
635.0,1.6520E+00,1.4458E+00,1.3065E+00
636.0,1.6093E+00,1.4128E+00,1.2768E+00
637.0,1.6610E+00,1.4610E+00,1.3204E+00
638.0,1.6650E+00,1.4707E+00,1.3292E+00
639.0,1.6530E+00,1.4646E+00,1.3238E+00
640.0,1.6130E+00,1.4340E+00,1.2962E+00
641.0,1.6100E+00,1.4348E+00,1.2970E+00
642.0,1.6090E+00,1.4376E+00,1.2995E+00
643.0,1.6250E+00,1.4525E+00,1.3130E+00
644.0,1.6140E+00,1.4462E+00,1.3074E+00
645.0,1.6270E+00,1.4567E+00,1.3170E+00
646.0,1.5910E+00,1.4150E+00,1.2797E+00
647.0,1.6060E+00,1.4086E+00,1.2744E+00
648.0,1.6020E+00,1.3952E+00,1.2625E+00
649.0,1.5510E+00,1.3519E+00,1.2234E+00
650.0,1.5260E+00,1.3594E+00,1.2299E+00
651.0,1.6130E+00,1.4447E+00,1.3071E+00
652.0,1.5910E+00,1.3871E+00,1.2558E+00
